fid;w;s
469;98;1860
471;27;521
474;50;904
478;45;711
481;1;13
448;48;560
449;36;735
450;15;144
451;50;649
452;26;337
454;47;759
457;41;706
459;50;549
460;29;174
461;2;25
463;149;2843
662;37;761
663;24;417
664;16;133
666;7;272
911;6;42
914;10;163
915;32;363
916;62;1068
918;5;58
919;52;579
921;23;415
922;1;14
923;68;851
924;104;1816
925;12;120
926;22;372
928;78;1704
674;165;2524
675;72;334
676;25;163
677;23;242
678;68;825
679;19;110
685;107;1359
686;25;283
690;1;5
691;12;58
693;70;447
694;56;754
695;14;74
697;27;306
698;38;578
699;16;138